Time,Roof,F15,F14,F13,F12,F11,F10,F9,F8,F7,F6,F5,F4,F3,F2
0.56,1.96153846153847e-06,-9.05384615384616e-06,-4.82307692307692e-06,-5.34615384615386e-06,-6.36153846153846e-06,-8.23076923076922e-06,-1.15692307692308e-05,-1.54576923076923e-05,-2.70146153846154e-05,-2.55023076923077e-05,-1.59838461538462e-05,-1.75938461538462e-05,-1.76876923076923e-05,-1.01938461538462e-05,1.89228571428571e-05
0.57,1.95384615384614e-06,-9.03846153846154e-06,-4.82307692307692e-06,-5.39230769230769e-06,-6.42307692307692e-06,-8.29230769230769e-06,-1.16461538461539e-05,-1.55161538461538e-05,-2.70815384615385e-05,-2.55630769230769e-05,-1.60525384615385e-05,-1.76636153846154e-05,-1.77430769230769e-05,-1.02346153846154e-05,1.89182142857143e-05
0.58,1.93846153846154e-06,-9.03076923076923e-06,-4.83076923076923e-06,-5.43846153846153e-06,-6.48461538461539e-06,-8.35384615384616e-06,-1.17153846153846e-05,-1.55838461538462e-05,-2.71476923076923e-05,-2.56253846153846e-05,-1.61226153846154e-05,-1.77312307692308e-05,-1.77976923076923e-05,-1.02776923076923e-05,1.8915e-05
0.59,1.93846153846154e-06,-9.01538461538462e-06,-4.84615384615386e-06,-5.49230769230768e-06,-6.54615384615385e-06,-8.42307692307692e-06,-1.17923076923077e-05,-1.56453846153846e-05,-2.72130769230769e-05,-2.56876923076923e-05,-1.61948461538462e-05,-1.77966923076923e-05,-1.78515384615385e-05,-1.03238461538462e-05,1.89132142857143e-05
0.6,1.92307692307693e-06,-8.99999999999999e-06,-4.86153846153846e-06,-5.55384615384616e-06,-6.61538461538461e-06,-8.4923076923077e-06,-1.18538461538461e-05,-1.57138461538462e-05,-2.72761538461538e-05,-2.57530769230769e-05,-1.62676153846154e-05,-1.78593076923077e-05,-1.79076923076923e-05,-1.03692307692308e-05,1.89110714285714e-05
0.61,1.90769230769232e-06,-8.97692307692309e-06,-4.89999999999999e-06,-5.60769230769231e-06,-6.67692307692307e-06,-8.56923076923077e-06,-1.19230769230769e-05,-1.57807692307692e-05,-2.73392307692308e-05,-2.58207692307692e-05,-1.63396923076923e-05,-1.79195384615385e-05,-1.79661538461538e-05,-1.04123076923077e-05,1.89078571428571e-05
0.62,1.90000000000001e-06,-8.96923076923078e-06,-4.92307692307691e-06,-5.67692307692309e-06,-6.74615384615385e-06,-8.63846153846153e-06,-1.19923076923077e-05,-1.58484615384615e-05,-2.74007692307692e-05,-2.58907692307692e-05,-1.64112307692308e-05,-1.79787692307692e-05,-1.80253846153846e-05,-1.04553846153846e-05,1.8905e-05
0.63,1.89230769230768e-06,-8.96153846153845e-06,-4.96923076923076e-06,-5.73846153846155e-06,-6.80769230769229e-06,-8.71538461538463e-06,-1.20615384615385e-05,-1.59176923076923e-05,-2.74630769230769e-05,-2.59630769230769e-05,-1.64800769230769e-05,-1.80376153846154e-05,-1.80869230769231e-05,-1.04953846153846e-05,1.89025e-05
0.64,1.87692307692307e-06,-8.95384615384616e-06,-5.01538461538462e-06,-5.80769230769231e-06,-6.87692307692307e-06,-8.79230769230768e-06,-1.21230769230769e-05,-1.59884615384615e-05,-2.75269230769231e-05,-2.60361538461539e-05,-1.65472307692308e-05,-1.80973846153846e-05,-1.81484615384615e-05,-1.05330769230769e-05,1.89003571428571e-05
0.65,1.88461538461538e-06,-8.96923076923076e-06,-5.06153846153846e-06,-5.87692307692309e-06,-6.95384615384614e-06,-8.86153846153846e-06,-1.21923076923077e-05,-1.60538461538462e-05,-2.75923076923077e-05,-2.611e-05,-1.66117692307692e-05,-1.81582307692308e-05,-1.82092307692308e-05,-1.05692307692308e-05,1.88985714285714e-05
0.66,1.88461538461538e-06,-8.98461538461539e-06,-5.11538461538461e-06,-5.94615384615384e-06,-7.02307692307693e-06,-8.93846153846153e-06,-1.22615384615385e-05,-1.61207692307692e-05,-2.766e-05,-2.61830769230769e-05,-1.66743846153846e-05,-1.8221e-05,-1.82676923076923e-05,-1.06046153846154e-05,1.88967857142857e-05
0.67,1.88461538461538e-06,-9.00769230769231e-06,-5.17692307692309e-06,-6.0153846153846e-06,-7.1e-06,-9.00769230769231e-06,-1.23307692307692e-05,-1.61846153846154e-05,-2.77330769230769e-05,-2.62538461538461e-05,-1.67363846153846e-05,-1.82859230769231e-05,-1.83238461538462e-05,-1.06384615384615e-05,1.88939285714286e-05
0.68,1.8923076923077e-06,-9.04615384615385e-06,-5.23846153846154e-06,-6.08461538461539e-06,-7.17692307692307e-06,-9.07692307692308e-06,-1.24076923076923e-05,-1.62538461538462e-05,-2.78e-05,-2.63230769230769e-05,-1.67983076923077e-05,-1.83509230769231e-05,-1.83776923076923e-05,-1.06715384615385e-05,1.88885714285714e-05
0.69,1.9076923076923e-06,-9.09230769230769e-06,-5.30769230769231e-06,-6.15384615384615e-06,-7.25384615384614e-06,-9.14615384615386e-06,-1.24769230769231e-05,-1.63153846153846e-05,-2.78807692307692e-05,-2.63907692307692e-05,-1.68607692307692e-05,-1.84161538461538e-05,-1.84292307692308e-05,-1.07061538461538e-05,1.88817857142857e-05
0.7,1.92307692307693e-06,-9.15384615384615e-06,-5.37692307692309e-06,-6.23076923076922e-06,-7.33076923076923e-06,-9.21538461538461e-06,-1.25461538461538e-05,-1.63846153846154e-05,-2.79538461538461e-05,-2.64553846153846e-05,-1.69251538461538e-05,-1.84802307692308e-05,-1.84784615384615e-05,-1.07446153846154e-05,1.88746428571429e-05
