Time,Roof,F15,F14,F13,F12,F11,F10,F9,F8,F7,F6,F5,F4,F3,F2
0.51,-8.35384615384615e-06,-2.36923076923077e-05,-1.91846153846154e-05,-1.90461538461538e-05,-1.91538461538462e-05,-1.89692307692308e-05,-1.72923076923077e-05,-1.56238461538462e-05,-2.35846153846154e-05,-2.22392307692308e-05,-1.44366153846154e-05,-1.63987692307692e-05,-1.68876923076923e-05,-1.03669230769231e-05,1.76353571428571e-05
0.52,-8.36153846153844e-06,-2.36923076923077e-05,-1.91923076923077e-05,-1.90615384615385e-05,-1.92076923076923e-05,-1.90230769230769e-05,-1.73538461538462e-05,-1.56792307692308e-05,-2.36446153846154e-05,-2.23007692307692e-05,-1.44931538461538e-05,-1.64614615384615e-05,-1.69515384615385e-05,-1.04069230769231e-05,1.76317857142857e-05
0.53,-8.36923076923077e-06,-2.36923076923077e-05,-1.92076923076923e-05,-1.90846153846154e-05,-1.92615384615385e-05,-1.90769230769231e-05,-1.74076923076923e-05,-1.57415384615385e-05,-2.37046153846154e-05,-2.23630769230769e-05,-1.45490769230769e-05,-1.65263076923077e-05,-1.70153846153846e-05,-1.04438461538462e-05,1.76275e-05
0.54,-8.3769230769231e-06,-2.36923076923077e-05,-1.92153846153846e-05,-1.91153846153846e-05,-1.93153846153846e-05,-1.91307692307692e-05,-1.74692307692308e-05,-1.58038461538462e-05,-2.37653846153846e-05,-2.24246153846154e-05,-1.46057692307692e-05,-1.65934615384615e-05,-1.70769230769231e-05,-1.04815384615385e-05,1.76239285714286e-05
0.55,-8.36923076923077e-06,-2.37e-05,-1.92230769230769e-05,-1.91538461538461e-05,-1.93769230769231e-05,-1.91923076923077e-05,-1.75230769230769e-05,-1.58653846153846e-05,-2.38261538461538e-05,-2.24846153846154e-05,-1.46648461538462e-05,-1.66613076923077e-05,-1.71361538461538e-05,-1.05192307692308e-05,1.76196428571429e-05
0.56,-8.37692307692307e-06,-2.37076923076923e-05,-1.92307692307692e-05,-1.92e-05,-1.94384615384615e-05,-1.92384615384615e-05,-1.75923076923077e-05,-1.59230769230769e-05,-2.38884615384615e-05,-2.25438461538462e-05,-1.47263846153846e-05,-1.67297692307692e-05,-1.71923076923077e-05,-1.05584615384615e-05,1.76146428571429e-05
0.57,-8.36923076923077e-06,-2.37230769230769e-05,-1.92461538461538e-05,-1.92461538461539e-05,-1.95e-05,-1.93e-05,-1.76461538461539e-05,-1.59876923076923e-05,-2.395e-05,-2.26023076923077e-05,-1.47915384615385e-05,-1.67961538461538e-05,-1.72476923076923e-05,-1.06007692307692e-05,1.76103571428571e-05
0.58,-8.37692307692307e-06,-2.37307692307692e-05,-1.92615384615385e-05,-1.93e-05,-1.95615384615385e-05,-1.93615384615385e-05,-1.77076923076923e-05,-1.60453846153846e-05,-2.40123076923077e-05,-2.26607692307692e-05,-1.4859e-05,-1.6861e-05,-1.73023076923077e-05,-1.06438461538462e-05,1.76071428571429e-05
0.59,-8.36923076923077e-06,-2.37461538461538e-05,-1.92923076923077e-05,-1.93538461538462e-05,-1.96153846153846e-05,-1.94230769230769e-05,-1.77769230769231e-05,-1.61038461538462e-05,-2.40746153846154e-05,-2.27192307692308e-05,-1.49286923076923e-05,-1.69236153846154e-05,-1.73561538461538e-05,-1.069e-05,1.76053571428571e-05
0.6,-8.36153846153844e-06,-2.37692307692308e-05,-1.93230769230769e-05,-1.94153846153846e-05,-1.96769230769231e-05,-1.94846153846154e-05,-1.78307692307692e-05,-1.61684615384615e-05,-2.41353846153846e-05,-2.27807692307692e-05,-1.49986153846154e-05,-1.69836923076923e-05,-1.74123076923077e-05,-1.07346153846154e-05,1.76028571428571e-05
0.61,-8.36153846153844e-06,-2.37846153846154e-05,-1.93615384615384e-05,-1.94769230769231e-05,-1.97384615384615e-05,-1.95461538461538e-05,-1.78923076923077e-05,-1.62323076923077e-05,-2.41946153846154e-05,-2.28438461538462e-05,-1.50692307692308e-05,-1.70423076923077e-05,-1.74692307692308e-05,-1.07784615384615e-05,1.75996428571429e-05
0.62,-8.35384615384615e-06,-2.38076923076923e-05,-1.94e-05,-1.95461538461538e-05,-1.98e-05,-1.96076923076923e-05,-1.79538461538461e-05,-1.62953846153846e-05,-2.42546153846154e-05,-2.291e-05,-1.51373076923077e-05,-1.71011538461538e-05,-1.75269230769231e-05,-1.08207692307692e-05,1.75964285714286e-05
0.63,-8.34615384615385e-06,-2.38230769230769e-05,-1.94615384615385e-05,-1.96076923076923e-05,-1.98538461538462e-05,-1.96769230769231e-05,-1.80230769230769e-05,-1.63523076923077e-05,-2.43146153846154e-05,-2.29784615384615e-05,-1.52030769230769e-05,-1.71592307692308e-05,-1.75869230769231e-05,-1.08607692307692e-05,1.75935714285714e-05
0.64,-8.34615384615385e-06,-2.38461538461538e-05,-1.95230769230769e-05,-1.96692307692308e-05,-1.99153846153846e-05,-1.97461538461539e-05,-1.80769230769231e-05,-1.64184615384615e-05,-2.43753846153846e-05,-2.30484615384615e-05,-1.52676923076923e-05,-1.72176923076923e-05,-1.76469230769231e-05,-1.09e-05,1.75917857142857e-05
0.65,-8.33076923076923e-06,-2.38769230769231e-05,-1.95846153846154e-05,-1.97384615384615e-05,-1.99846153846154e-05,-1.98e-05,-1.81461538461538e-05,-1.64792307692308e-05,-2.44369230769231e-05,-2.312e-05,-1.53292307692308e-05,-1.72784615384615e-05,-1.77061538461538e-05,-1.09361538461538e-05,1.759e-05
0.66,-8.33846153846152e-06,-2.39076923076923e-05,-1.96538461538462e-05,-1.98e-05,-2.00461538461538e-05,-1.98692307692308e-05,-1.82076923076923e-05,-1.65415384615385e-05,-2.45e-05,-2.31915384615385e-05,-1.53884615384615e-05,-1.73407692307692e-05,-1.77646153846154e-05,-1.09707692307692e-05,1.75882142857143e-05
0.67,-8.33846153846152e-06,-2.39461538461538e-05,-1.9723076923077e-05,-1.98692307692307e-05,-2.01153846153846e-05,-1.99307692307692e-05,-1.82692307692308e-05,-1.66030769230769e-05,-2.45661538461538e-05,-2.326e-05,-1.54492307692308e-05,-1.74030769230769e-05,-1.78207692307692e-05,-1.10046153846154e-05,1.75853571428571e-05
0.68,-8.35384615384615e-06,-2.39769230769231e-05,-1.98e-05,-1.99307692307692e-05,-2.01846153846154e-05,-2e-05,-1.83307692307692e-05,-1.66615384615385e-05,-2.46346153846154e-05,-2.33269230769231e-05,-1.55092307692308e-05,-1.74661538461538e-05,-1.78753846153846e-05,-1.10369230769231e-05,1.758e-05
0.69,-8.37692307692307e-06,-2.40153846153846e-05,-1.98769230769231e-05,-2e-05,-2.02461538461539e-05,-2.00692307692308e-05,-1.83923076923077e-05,-1.67246153846154e-05,-2.47053846153846e-05,-2.33907692307692e-05,-1.55707692307692e-05,-1.75292307692308e-05,-1.79269230769231e-05,-1.10715384615385e-05,1.75732142857143e-05
0.7,-8.40000000000002e-06,-2.40615384615384e-05,-1.99461538461539e-05,-2.00692307692308e-05,-2.03230769230769e-05,-2.01230769230769e-05,-1.84615384615385e-05,-1.67861538461538e-05,-2.47761538461538e-05,-2.34538461538462e-05,-1.56330769230769e-05,-1.75915384615385e-05,-1.79769230769231e-05,-1.11092307692308e-05,1.75660714285714e-05
0.71,-8.43846153846153e-06,-2.41153846153846e-05,-2.00076923076923e-05,-2.01538461538462e-05,-2.03846153846154e-05,-2.01923076923077e-05,-1.85153846153846e-05,-1.68561538461538e-05,-2.48469230769231e-05,-2.35146153846154e-05,-1.56976923076923e-05,-1.76515384615385e-05,-1.80246153846154e-05,-1.11523076923077e-05,1.75596428571429e-05
0.72,-8.4923076923077e-06,-2.41692307692308e-05,-2.00692307692308e-05,-2.02307692307692e-05,-2.04538461538462e-05,-2.02615384615385e-05,-1.85769230769231e-05,-1.692e-05,-2.49169230769231e-05,-2.35746153846154e-05,-1.57623076923077e-05,-1.771e-05,-1.80738461538462e-05,-1.12e-05,1.75553571428571e-05
0.73,-8.55384615384616e-06,-2.42384615384615e-05,-2.01230769230769e-05,-2.03076923076923e-05,-2.05230769230769e-05,-2.03230769230769e-05,-1.86461538461538e-05,-1.69861538461539e-05,-2.49838461538462e-05,-2.36361538461538e-05,-1.58269230769231e-05,-1.77661538461538e-05,-1.81246153846154e-05,-1.12523076923077e-05,1.75532142857143e-05
0.74,-8.62307692307692e-06,-2.43e-05,-2.01846153846154e-05,-2.03846153846154e-05,-2.05923076923077e-05,-2.03923076923077e-05,-1.87e-05,-1.70615384615385e-05,-2.50492307692308e-05,-2.36984615384615e-05,-1.58915384615385e-05,-1.78192307692308e-05,-1.81792307692308e-05,-1.13053846153846e-05,1.75521428571429e-05
0.75,-8.71538461538463e-06,-2.43692307692308e-05,-2.02307692307692e-05,-2.04615384615385e-05,-2.06769230769231e-05,-2.04461538461539e-05,-1.87692307692308e-05,-1.71315384615385e-05,-2.51115384615385e-05,-2.37630769230769e-05,-1.59538461538462e-05,-1.78715384615385e-05,-1.82384615384615e-05,-1.13561538461538e-05,1.75514285714286e-05
